name,clean,SWAP,INSERT,TWIST,NEH
ta001,1448,1297,1297,1340,1286
ta002,1545,1372,1367,1507,1365
ta003,1597,1132,1119,1438,1140
ta004,1754,1339,1311,1548,1325
ta005,1431,1258,1261,1398,1305
ta006,1616,1224,1212,1543,1228
ta007,1528,1251,1259,1350,1279
ta008,1428,1255,1230,1373,1223
ta009,1468,1281,1298,1369,1291
ta010,1404,1128,1139,1302,1151
ta011,2004,1616,1626,1821,1680
ta012,2104,1729,1722,1899,1786
ta013,1812,1578,1545,1706,1557
ta014,1726,1452,1418,1636,1439
ta015,1944,1513,1501,1746,1502
ta016,1877,1500,1442,1760,1453
ta017,1935,1533,1529,1831,1562
ta018,2044,1619,1617,1832,1609
ta019,1978,1664,1620,1861,1647
ta020,2051,1634,1637,1921,1653
ta021,2770,2379,2362,2637,2410
ta022,2543,2183,2144,2502,2150
ta023,2625,2412,2404,2544,2411
ta024,2800,2298,2296,2590,2262
ta025,2829,2397,2363,2716,2397
ta026,2597,2317,2306,2522,2349
ta027,2723,2368,2337,2626,2362
ta028,2697,2308,2275,2515,2249
ta029,2713,2354,2315,2513,2306
ta030,2830,2330,2234,2536,2277
ta031,3095,2765,2748,3028,2733
ta032,3515,2906,2900,3445,2843
ta033,2900,2676,2688,2881,2625
ta034,3073,2809,2816,3056,2783
ta035,3071,2928,2921,3045,2868
ta036,3195,2881,2893,3120,2838
ta037,3450,2790,2771,3434,2752
ta038,3140,2759,2739,3103,2694
ta039,2930,2619,2589,2894,2574
ta040,3188,2827,2826,3140,2792
ta041,3754,3238,3230,3700,3168
ta042,3685,3092,3073,3546,3021
ta043,3612,3101,3092,3558,3036
ta044,3669,3241,3217,3592,3194
ta045,3741,3239,3213,3604,3159
ta046,3736,3237,3206,3649,3178
ta047,3678,3305,3309,3608,3277
ta048,3773,3225,3183,3646,3193
ta049,3792,3129,3082,3673,3015
ta050,3845,3261,3272,3744,3257
ta051,5094,4182,4170,4920,4024
ta052,4730,4061,4022,4571,3921
ta053,4592,3980,3928,4511,3890
ta054,4797,4062,4043,4679,3987
ta055,4748,4014,3970,4585,3835
ta056,4946,4054,4036,4797,3920
ta057,4742,4060,4036,4624,3952
ta058,4763,4057,4003,4633,3930
ta059,4823,4100,4044,4648,3952
ta060,4901,4131,4087,4603,4079
ta061,5943,5542,5540,5923,5519
ta062,5878,5339,5346,5878,5284
ta063,5880,5268,5274,5870,5209
ta064,5675,5084,5076,5663,5023
ta065,6095,5339,5336,6088,5261
ta066,5753,5204,5200,5716,5139
ta067,5935,5342,5342,5889,5256
ta068,6068,5227,5191,6045,5126
ta069,6193,5542,5544,6160,5489
ta070,6157,5403,5419,6157,5342
ta071,6983,6075,6086,6913,5881
ta072,6558,5684,5621,6528,5447
ta073,6667,5927,5927,6589,5768
ta074,7300,6115,6140,7250,5989
ta075,6844,5844,5836,6788,5673
ta076,6591,5553,5575,6472,5420
ta077,6765,5850,5846,6684,5746
ta078,6517,5889,5922,6460,5742
ta079,6859,6065,6063,6773,6017
ta080,6930,6109,6089,6911,5960
ta081,7840,6840,6840,7776,6594
ta082,7591,6873,6862,7467,6565
ta083,7755,6924,6921,7668,6639
ta084,7885,6834,6878,7825,6592
ta085,7729,6973,6910,7566,6660
ta086,8072,7014,6988,8026,6781
ta087,8033,6986,6988,7908,6676
ta088,8138,7090,7069,8092,6739
ta089,7907,6928,6950,7848,6658
ta090,8099,7025,7010,8051,6718
ta091,12193,11186,11195,12170,10942
ta092,12796,10998,11004,12771,10715
ta093,12556,11338,11325,12550,11070
ta094,12198,11158,11168,12189,11057
ta095,12110,11034,11046,12109,10608
ta096,12116,10821,10871,12094,10487
ta097,12848,11300,11306,12844,10985
ta098,12294,11167,11164,12280,10821
ta099,12010,10932,10901,11988,10556
ta100,12274,11115,11095,12230,10850
ta101,13576,12259,12241,13551,11684
ta102,13628,12463,12432,13588,11680
ta103,14152,12502,12531,14091,11853
ta104,13479,12362,12348,13444,11769
ta105,13686,12328,12352,13661,11604
ta106,13917,12371,12428,13875,11658
ta107,13836,12541,12536,13778,11792
ta108,13855,12441,12407,13833,11855
ta109,13409,12397,12388,13360,11681
ta110,14101,12485,12496,14085,11758
ta111,30121,28163,28273,30109,26752
ta112,31202,28696,28804,31196,27147
ta113,30447,28413,28482,30443,26924
ta114,30355,28371,28409,30352,27076
ta115,30099,28350,28452,30076,26833
ta116,30946,28664,28766,30925,27070
ta117,30792,28392,28504,30768,26854
ta118,31034,28632,28797,31032,27216
ta119,30634,28194,28344,30615,26555
ta120,30148,28430,28470,30134,27032
